date,CFHI_raw
2006-04-01,21.919349867239603
2006-04-01,21.918468505208093
2006-04-01,22.08104069768043
2006-04-01,21.758621482218043
2006-05-01,19.01784548912925
2006-05-01,18.695506477451914
2006-05-01,19.768564603645725
2006-05-01,19.608871870254283
2006-05-01,19.768564603645725
2006-06-01,20.17808857104462
2006-06-01,19.85798952111888
2006-06-01,20.17808857104462
2006-06-01,20.17864388606382
2006-06-01,22.77165613347358
2006-06-01,22.610851114505113
2006-06-01,22.61156651004179
2006-07-01,20.72260724683771
2006-07-01,21.041435191020714
2006-07-01,21.042786493701215
2006-07-01,20.53289957378861
2006-07-01,20.21367276192355
2006-08-01,19.769827516794354
2006-08-01,20.247013301460353
2006-08-01,19.769118474023657
2006-08-01,19.769118474023657
2006-08-01,20.91121604610014
2006-08-01,20.593170268801604
2006-09-01,24.713141920909568
2006-09-01,25.030639863735257
2006-09-01,24.872829772389924
2006-09-01,25.06950402521729
2006-09-01,25.228953468928975
2006-10-01,28.520636839049
2006-10-01,28.044858671773262
2006-10-01,28.36313732101272
2006-10-01,28.044858671773262
2006-10-01,24.158197188609925
2006-10-01,23.84256505152067
2006-10-01,24.00045844297981
2006-11-01,24.975421136612646
2006-11-01,24.81814693492395
2006-11-01,22.336573385321653
2006-11-01,22.020709884497023
2006-11-01,21.705155296631705
2006-11-01,22.020709884497023
2006-12-01,20.933742525274265
2006-12-01,20.77716127846923
2006-12-01,19.98431007259706
2006-12-01,19.669219186631736
2006-12-01,20.142354947724417
2007-01-01,19.58414937653657
2007-01-01,19.4277931005207
2007-01-01,19.4277931005207
2007-01-01,20.425644130345752
2007-01-01,20.425568079291175
2007-01-01,20.582385501803977
2007-02-01,20.509777087943117
2007-02-01,20.510766712920688
2007-02-01,20.04000972355808
2007-02-01,20.23412169657985
2007-02-01,20.391469189922613
2007-03-01,19.527628015230686
2007-03-01,19.842021745980407
2007-03-01,19.371190922042267
2007-03-01,19.402364623190003
2007-03-01,18.622526943177355
2007-03-01,18.93396483212557
2007-04-01,18.83424780113894
2007-04-01,18.52258395977706
2007-04-01,18.523714815514936
2007-04-01,19.05923093381867
2007-04-01,19.05923093381867
2007-04-01,19.214387607852455
2007-05-01,18.29000237352468
2007-05-01,18.6022649801333
2007-05-01,18.134546313723384
2007-05-01,18.23749939012783
2007-06-01,20.936849087654412
2007-06-01,20.943177446105203
2007-07-01,21.64917669962836
2007-07-01,21.495959554951234
2007-07-01,21.342594873302847
2007-07-01,21.88023596314067
2007-07-01,22.035461399435725
2007-08-01,25.68768034323684
2007-08-01,24.417684955282756
2007-08-01,24.880399832517963
2007-08-01,24.8809869454404
2007-08-01,23.895705486304042
2007-09-01,25.313266545425385
2007-09-01,25.470531032181896
2007-09-01,25.317661505015817
2007-09-01,25.626337105285213
2007-09-01,22.660808376799086
2007-09-01,22.660881070451698
2007-09-01,22.813901209088
2007-10-01,23.219574355269412
2007-10-01,23.68169766867529
2007-10-01,22.489239881094992
2007-10-01,22.946923455713296
2007-10-01,23.09958088432404
2007-10-01,23.09965344007078
2007-11-01,22.352437013217017
2007-11-01,22.04515990734436
2007-11-01,21.892940228091366
2007-11-01,22.057208702976833
2007-11-01,21.751893296090927
2007-12-01,25.007481663074394
2007-12-01,24.547114003456088
2007-12-01,24.089360831256357
2007-12-01,24.088271461498586
2007-12-01,25.397097589287483
2007-12-01,25.397025785054897
2007-12-01,25.54917895406719
2008-01-01,25.24618784929359
2008-01-01,25.4001432642251
2008-01-01,24.000446041815806
2008-01-01,24.15109982106605
2008-01-01,24.909073613067374
2008-01-01,24.60541249809249
2008-02-01,32.35866216443474
2008-02-01,32.35988398959914
2008-02-01,32.05651300744517
2008-02-01,33.85686078949576
2008-02-01,33.250467152884426
2008-02-01,33.85936447749105
2008-03-01,36.35626484872434
2008-03-01,36.35461490938945
2008-03-01,36.35626484872434
2008-03-01,35.098765365981535
2008-03-01,33.735330037889064
2008-03-01,34.037708450335714
2008-03-01,33.58523797067814
2008-04-01,36.50035500450684
2008-04-01,36.501566509279115
2008-04-01,36.50035500450684
2008-04-01,35.54437834342439
2008-04-01,34.94258485702263
2008-04-01,34.49222214763292
2008-04-01,35.243200388313994
2008-05-01,38.65358482595242
2008-05-01,39.56268641635715
2008-05-01,39.4129460859972
2008-05-01,38.731415749288864
2008-05-01,38.43044899799618
2008-06-01,34.09186820370166
2008-06-01,34.54968724281878
2008-06-01,33.94810799087617
2008-06-01,34.17378611547449
2008-06-01,34.473423876486244
2008-06-01,34.02410640717531
2008-06-01,34.17378611547449
2008-07-01,32.000441431806905
2008-07-01,31.85160123351976
2008-07-01,34.756226049571104
2008-07-01,34.756640095737204
2008-07-01,34.906941926715994
2008-07-01,35.50705028676174
2008-07-01,35.50649385661931
2008-08-01,38.008694851884826
2008-08-01,38.45961348061929
2008-08-01,38.457942638085804
2008-08-01,39.74941259106717
2008-08-01,39.45219348969958
2008-09-01,42.500368223129755
2008-09-01,42.35469135328227
2008-09-01,41.90710744777098
2008-09-01,41.60795874152693
2008-09-01,39.32141333069572
2008-10-01,49.6505059263494
2008-10-01,49.650029290344456
2008-10-01,49.7997625908046
2008-10-01,49.50438859352208
2008-11-01,61.13008825322157
2008-11-01,61.57560205347572
2008-11-01,62.02193481292153
2008-11-01,61.58173305989801
2008-11-01,61.58070887428761
2008-11-01,55.64728121485915
2008-11-01,55.351697487949934
2008-12-01,62.643689141145806
2008-12-01,63.68648377010094
2008-12-01,52.99724607333214
2008-12-01,52.115146405536215
2009-01-01,52.98328384764082
2009-01-01,53.87042523736061
