date,I_star
2006-04-01,39.19408822061499
2006-04-01,39.19408822061499
2006-04-01,39.19408822061499
2006-04-01,39.19408822061499
2006-05-01,30.713635270585883
2006-05-01,30.713635270585883
2006-05-01,42.07153544047526
2006-05-01,42.07153544047526
2006-05-01,42.07153544047526
2006-06-01,38.32494727150701
2006-06-01,38.32494727150701
2006-06-01,38.32494727150701
2006-06-01,38.32494727150701
2006-06-01,46.77147163906542
2006-06-01,46.77147163906542
2006-06-01,46.77147163906542
2006-07-01,38.37922548049314
2006-07-01,38.37922548049314
2006-07-01,38.37922548049314
2006-07-01,42.12570632724886
2006-07-01,42.12570632724886
2006-08-01,37.47256605313506
2006-08-01,37.47256605313506
2006-08-01,37.47256605313506
2006-08-01,37.47256605313506
2006-08-01,45.86882792767458
2006-08-01,45.86882792767458
2006-09-01,55.13388971363141
2006-09-01,55.13388971363141
2006-09-01,55.13388971363141
2006-09-01,59.74367867782729
2006-09-01,59.74367867782729
2006-10-01,68.98599853500147
2006-10-01,68.98599853500147
2006-10-01,68.98599853500147
2006-10-01,68.98599853500147
2006-10-01,59.78927473040349
2006-10-01,59.78927473040349
2006-10-01,59.78927473040349
2006-11-01,59.78927473040349
2006-11-01,59.78927473040349
2006-11-01,50.5013588206531
2006-11-01,50.5013588206531
2006-11-01,50.5013588206531
2006-11-01,50.5013588206531
2006-12-01,40.23399833281418
2006-12-01,40.23399833281418
2006-12-01,40.23399833281418
2006-12-01,40.23399833281418
2006-12-01,40.23399833281418
2007-01-01,36.939109012626226
2007-01-01,36.939109012626226
2007-01-01,36.939109012626226
2007-01-01,47.224341188099174
2007-01-01,47.224341188099174
2007-01-01,47.224341188099174
2007-02-01,40.23398912772197
2007-02-01,40.23398912772197
2007-02-01,40.23398912772197
2007-02-01,43.52315324237188
2007-02-01,43.52315324237188
2007-03-01,32.03181869115271
2007-03-01,32.03181869115271
2007-03-01,32.03181869115271
2007-03-01,39.05246036703305
2007-03-01,39.05246036703305
2007-03-01,39.05246036703305
2007-04-01,31.17672618885696
2007-04-01,31.17672618885696
2007-04-01,31.17672618885696
2007-04-01,42.67322932587791
2007-04-01,42.67322932587791
2007-04-01,42.67322932587791
2007-05-01,29.93531169545824
2007-05-01,29.93531169545824
2007-05-01,29.93531169545824
2007-05-01,37.81618631879572
2007-06-01,34.187934529720295
2007-06-01,34.187934529720295
2007-07-01,31.957976251295534
2007-07-01,31.957976251295534
2007-07-01,31.957976251295534
2007-07-01,44.68235658958285
2007-07-01,44.68235658958285
2007-08-01,47.31497850379546
2007-08-01,50.91814926421791
2007-08-01,50.91814926421791
2007-08-01,50.91814926421791
2007-08-01,53.12586879490096
2007-09-01,48.112149740647816
2007-09-01,48.112149740647816
2007-09-01,48.112149740647816
2007-09-01,48.112149740647816
2007-09-01,45.48064066885551
2007-09-01,45.48064066885551
2007-09-01,45.48064066885551
2007-10-01,39.94335043284772
2007-10-01,39.94335043284772
2007-10-01,44.97879626881356
2007-10-01,44.97879626881356
2007-10-01,44.97879626881356
2007-10-01,44.97879626881356
2007-11-01,29.95670304269609
2007-11-01,29.95670304269609
2007-11-01,29.95670304269609
2007-11-01,35.523202249160875
2007-11-01,35.523202249160875
2007-12-01,30.16098614805533
2007-12-01,30.16098614805533
2007-12-01,30.16098614805533
2007-12-01,30.16098614805533
2007-12-01,45.18146695747893
2007-12-01,45.18146695747893
2007-12-01,45.18146695747893
2008-01-01,33.057478106278396
2008-01-01,33.057478106278396
2008-01-01,38.41153256353482
2008-01-01,38.41153256353482
2008-01-01,38.41153256353482
2008-01-01,38.41153256353482
2008-02-01,37.921163504433444
2008-02-01,37.921163504433444
2008-02-01,37.921163504433444
2008-02-01,50.014118657465836
2008-02-01,50.014118657465836
2008-02-01,50.014118657465836
2008-03-01,43.54711285516555
2008-03-01,43.54711285516555
2008-03-01,43.54711285516555
2008-03-01,44.03602627255575
2008-03-01,44.03602627255575
2008-03-01,44.03602627255575
2008-03-01,44.03602627255575
2008-04-01,40.1214002639814
2008-04-01,40.1214002639814
2008-04-01,40.1214002639814
2008-04-01,46.60013020349388
2008-04-01,46.60013020349388
2008-04-01,46.60013020349388
2008-04-01,46.60013020349388
2008-05-01,34.340386879435684
2008-05-01,34.340386879435684
2008-05-01,34.340386879435684
2008-05-01,38.26696746858559
2008-05-01,38.26696746858559
2008-06-01,18.263869728811926
2008-06-01,18.263869728811926
2008-06-01,18.263869728811926
2008-06-01,30.627411103937746
2008-06-01,30.627411103937746
2008-06-01,30.627411103937746
2008-06-01,30.627411103937746
2008-07-01,15.067799021013968
2008-07-01,15.067799021013968
2008-07-01,35.1042830368619
2008-07-01,35.1042830368619
2008-07-01,35.1042830368619
2008-07-01,35.1042830368619
2008-07-01,35.1042830368619
2008-08-01,37.71087460655863
2008-08-01,37.71087460655863
2008-08-01,37.71087460655863
2008-08-01,53.08680567520186
2008-08-01,53.08680567520186
2008-09-01,53.66230381226088
2008-09-01,53.66230381226088
2008-09-01,53.66230381226088
2008-09-01,53.66230381226088
2008-09-01,51.07764837282197
2008-10-01,69.16625924164562
2008-10-01,69.16625924164562
2008-10-01,69.16625924164562
2008-10-01,69.16625924164562
2008-11-01,100
2008-11-01,100
2008-11-01,100
2008-11-01,100
2008-11-01,100
2008-11-01,82.21060631919194
2008-11-01,82.21060631919194
2008-12-01,95.84992647609741
2008-12-01,95.84992647609741
2008-12-01,64.37433859725598
2008-12-01,64.37433859725598
2009-01-01,58.33031428693977
2009-01-01,58.33031428693977
2009-01-01,58.33031428693977
2009-01-01,58.33031428693977
