date,S_star
2006-04-01,0.28818443804034544
2006-04-01,0.28818443804034544
2006-04-01,0.28818443804034544
2006-04-01,0.28818443804034544
2006-05-01,0
2006-05-01,0
2006-05-01,0
2006-05-01,0
2006-05-01,0
2006-06-01,0.5763688760806914
2006-06-01,0.5763688760806914
2006-06-01,0.5763688760806914
2006-06-01,0.5763688760806914
2006-06-01,0.5763688760806914
2006-06-01,0.5763688760806914
2006-06-01,0.5763688760806914
2006-07-01,2.305475504322766
2006-07-01,2.305475504322766
2006-07-01,2.305475504322766
2006-07-01,2.305475504322766
2006-07-01,2.305475504322766
2006-08-01,3.4582132564841492
2006-08-01,3.4582132564841492
2006-08-01,3.4582132564841492
2006-08-01,3.4582132564841492
2006-08-01,3.4582132564841492
2006-08-01,3.4582132564841492
2006-09-01,4.322766570605187
2006-09-01,4.322766570605187
2006-09-01,4.322766570605187
2006-09-01,4.322766570605187
2006-09-01,4.322766570605187
2006-10-01,3.170028818443804
2006-10-01,3.170028818443804
2006-10-01,3.170028818443804
2006-10-01,3.170028818443804
2006-10-01,3.170028818443804
2006-10-01,3.170028818443804
2006-10-01,3.170028818443804
2006-11-01,2.0172910662824206
2006-11-01,2.0172910662824206
2006-11-01,2.0172910662824206
2006-11-01,2.0172910662824206
2006-11-01,2.0172910662824206
2006-11-01,2.0172910662824206
2006-12-01,1.440922190201729
2006-12-01,1.440922190201729
2006-12-01,1.440922190201729
2006-12-01,1.440922190201729
2006-12-01,1.440922190201729
2007-01-01,1.440922190201729
2007-01-01,1.440922190201729
2007-01-01,1.440922190201729
2007-01-01,1.440922190201729
2007-01-01,1.440922190201729
2007-01-01,1.440922190201729
2007-02-01,1.440922190201729
2007-02-01,1.440922190201729
2007-02-01,1.440922190201729
2007-02-01,1.440922190201729
2007-02-01,1.440922190201729
2007-03-01,2.593659942363112
2007-03-01,2.593659942363112
2007-03-01,2.593659942363112
2007-03-01,2.593659942363112
2007-03-01,2.593659942363112
2007-03-01,2.593659942363112
2007-04-01,1.1527377521613829
2007-04-01,1.1527377521613829
2007-04-01,1.1527377521613829
2007-04-01,1.1527377521613829
2007-04-01,1.1527377521613829
2007-04-01,1.1527377521613829
2007-05-01,0.8645533141210375
2007-05-01,0.8645533141210375
2007-05-01,0.8645533141210375
2007-05-01,0.8645533141210375
2007-06-01,6.628242074927952
2007-06-01,6.628242074927952
2007-07-01,6.9164265129682985
2007-07-01,6.9164265129682985
2007-07-01,6.9164265129682985
2007-07-01,6.9164265129682985
2007-07-01,6.9164265129682985
2007-08-01,6.9164265129682985
2007-08-01,6.9164265129682985
2007-08-01,6.9164265129682985
2007-08-01,6.9164265129682985
2007-08-01,6.9164265129682985
2007-09-01,7.492795389048991
2007-09-01,7.492795389048991
2007-09-01,7.492795389048991
2007-09-01,7.492795389048991
2007-09-01,7.492795389048991
2007-09-01,7.492795389048991
2007-09-01,7.492795389048991
2007-10-01,6.340057636887608
2007-10-01,6.340057636887608
2007-10-01,6.340057636887608
2007-10-01,6.340057636887608
2007-10-01,6.340057636887608
2007-10-01,6.340057636887608
2007-11-01,3.4582132564841492
2007-11-01,3.4582132564841492
2007-11-01,3.4582132564841492
2007-11-01,3.4582132564841492
2007-11-01,3.4582132564841492
2007-12-01,5.47550432276657
2007-12-01,5.47550432276657
2007-12-01,5.47550432276657
2007-12-01,5.47550432276657
2007-12-01,5.47550432276657
2007-12-01,5.47550432276657
2007-12-01,5.47550432276657
2008-01-01,4.610951008645532
2008-01-01,4.610951008645532
2008-01-01,4.610951008645532
2008-01-01,4.610951008645532
2008-01-01,4.610951008645532
2008-01-01,4.610951008645532
2008-02-01,5.763688760806916
2008-02-01,5.763688760806916
2008-02-01,5.763688760806916
2008-02-01,5.763688760806916
2008-02-01,5.763688760806916
2008-02-01,5.763688760806916
2008-03-01,5.47550432276657
2008-03-01,5.47550432276657
2008-03-01,5.47550432276657
2008-03-01,5.47550432276657
2008-03-01,5.47550432276657
2008-03-01,5.47550432276657
2008-03-01,5.47550432276657
2008-04-01,6.9164265129682985
2008-04-01,6.9164265129682985
2008-04-01,6.9164265129682985
2008-04-01,6.9164265129682985
2008-04-01,6.9164265129682985
2008-04-01,6.9164265129682985
2008-04-01,6.9164265129682985
2008-05-01,19.30835734870317
2008-05-01,19.30835734870317
2008-05-01,19.30835734870317
2008-05-01,19.30835734870317
2008-05-01,19.30835734870317
2008-06-01,12.103746397694524
2008-06-01,12.103746397694524
2008-06-01,12.103746397694524
2008-06-01,12.103746397694524
2008-06-01,12.103746397694524
2008-06-01,12.103746397694524
2008-06-01,12.103746397694524
2008-07-01,8.357348703170029
2008-07-01,8.357348703170029
2008-07-01,8.357348703170029
2008-07-01,8.357348703170029
2008-07-01,8.357348703170029
2008-07-01,8.357348703170029
2008-07-01,8.357348703170029
2008-08-01,7.780979827089338
2008-08-01,7.780979827089338
2008-08-01,7.780979827089338
2008-08-01,7.780979827089338
2008-08-01,7.780979827089338
2008-09-01,8.645533141210374
2008-09-01,8.645533141210374
2008-09-01,8.645533141210374
2008-09-01,8.645533141210374
2008-09-01,8.645533141210374
2008-10-01,11.815561959654177
2008-10-01,11.815561959654177
2008-10-01,11.815561959654177
2008-10-01,11.815561959654177
2008-11-01,12.968299711815561
2008-11-01,12.968299711815561
2008-11-01,12.968299711815561
2008-11-01,12.968299711815561
2008-11-01,12.968299711815561
2008-11-01,12.968299711815561
2008-11-01,12.968299711815561
2008-12-01,15.273775216138327
2008-12-01,15.273775216138327
2008-12-01,15.273775216138327
2008-12-01,15.273775216138327
