date,year,month,savings_rate,wage_level,wage_yoy,cpi_level,inflation_yoy,borrow_rate,S_star,W_star,I_star,R_star,CFHI_raw,CFHI
2000-01-01,2000,1,4.5,13.74,3.541823662396393,169.3,2.792956891317555,5.45,10.197368421052632,35.94374378247752,56.63723080970256,16.795069337442214,29.893353087668732,NA
2000-02-01,2000,2,4,13.8,3.759398496240607,170,3.2179720704310855,5.73,8.552631578947368,39.249155591215626,52.75866825165252,12.480739599383668,28.260298755299797,NA
2000-03-01,2000,3,3.8,13.85,3.8230884557721057,171,3.762135922330101,5.85,7.894736842105263,40.21673782769893,47.792790219197535,10.631741140215723,26.63400150730436,28.26255111675763
2000-04-01,2000,4,4.3,13.89,3.811659192825112,170.9,3.013863773357439,6.02,9.539473684210526,40.04310368057502,54.6213000768696,8.012326656394464,28.054051024512404,27.649450429038854
2000-05-01,2000,5,4.3,13.94,3.874813710879277,171.2,3.1325301204819134,6.27,9.539473684210526,41.00255145338531,53.53838616349474,4.1602465331279035,27.06016445855462,27.24940566345713
2000-06-01,2000,6,4.3,13.98,3.786191536748329,172.2,3.7349397590361377,6.53,9.539473684210526,39.65619730151579,48.04097434498473,0.1540832049306573,24.347682133910425,26.487299205659152
2000-07-01,2000,7,4.7,14.02,3.774981495188756,172.7,3.5992801439711952,6.54,10.855263157894738,39.485893580755565,49.278963785097915,0,24.905030130937053,25.437625574467365
2000-08-01,2000,8,4.8,14.07,3.9911308203991247,172.7,3.3512866546977715,6.5,11.184210526315788,42.76964896449028,51.54207886758101,0.6163328197226576,26.528067794527434,25.260260019791634
2000-09-01,2000,9,4.1,14.12,3.7472446730345332,173.6,3.45649582836709,6.52,8.88157894736842,39.06451387490649,50.581971130703685,0.3081664098613288,24.709057590709982,25.38071850539149
2000-10-01,2000,10,4.3,14.17,3.885630498533721,173.9,3.4503271861986873,6.51,9.539473684210526,41.16688083382833,50.638264330862505,0.4622496147919861,25.451717115923337,25.562947500386915
2000-11-01,2000,11,4.3,14.23,4.172767203513916,174.2,3.444180522565321,6.51,9.539473684210526,45.52908136315635,50.69435696142461,0.4622496147919861,26.55629040589587,25.572355037509727
2000-12-01,2000,12,4.1,14.29,4.306569343065703,174.6,3.4360189573459543,6.4,8.88157894736842,47.56181265056971,50.768836986681464,2.1571648690292733,27.342348363412217,26.450118628410475
