date,year,month,savings_rate,wage_level,wage_yoy,cpi_level,inflation_yoy,borrow_rate,S_star,W_star,I_star,R_star,CFHI_raw,CFHI
2024-01-01,2024,1,3.8,34.55,1.677457327839904,309.685,0.6716100110851331,5.33,15.850144092219018,52.51892872322937,37.85722205915087,0,26.556573718649815,25.771248844637835
2024-01-01,2024,1,3.8,34.52,1.5294117647058902,309.685,0.6716100110851331,5.33,15.850144092219018,50.61055975660456,37.85722205915087,0,26.079481476993614,25.976876836192712
2024-01-01,2024,1,3.8,34.51,1.202346041055713,309.685,0.6716100110851331,5.33,15.850144092219018,46.3945463628382,37.85722205915087,0,25.025478128552024,25.887177774731814
2024-01-01,2024,1,3.8,34.47,1.1740534194305763,309.685,0.6716100110851331,5.33,15.850144092219018,46.0298426868152,37.85722205915087,0,24.934302209546274,25.346420605030634
2024-02-01,2024,2,3.6,34.57,1.378299120234594,311.054,1.0187810351490745,5.33,15.273775216138327,48.662654834168045,31.321170131034478,0,23.814400045335212,24.591393461144502
2024-02-01,2024,2,3.6,34.56,1.2895662368112681,311.054,1.0187810351490745,5.33,15.273775216138327,47.51885101148322,31.321170131034478,0,23.528449089664008,24.092383781515164
2024-02-01,2024,2,3.6,34.54,0.9056383289512082,311.054,1.0187810351490745,5.33,15.273775216138327,42.569860381361494,31.321170131034478,0,22.291201432133576,23.211350189044264
2024-03-01,2024,3,3.2,34.69,1.4624159110851132,312.23,1.400702137264287,5.33,14.121037463976945,49.746955301085045,24.130892190647643,0,21.999721238927407,22.606457253574998
2024-03-01,2024,3,3.2,34.68,1.1963816749343437,312.23,1.0943823862716417,5.33,14.121037463976945,46.31766319950215,29.897853314473636,0,22.584138494488183,22.291687055183058
2024-03-01,2024,3,3.2,34.69,0.9604190919674016,312.23,1.0943823862716417,5.33,14.121037463976945,43.27600723166256,29.897853314473636,0,21.823724502528286,22.135861411981292
2024-03-01,2024,3,3.2,34.67,0.9609784507862429,312.23,1.0943823862716417,5.33,14.121037463976945,43.283217599798476,29.897853314473636,0,21.825527094562265,22.07779669719291
2024-04-01,2024,4,3.6,34.75,1.282424948994465,313.207,1.4107171766229554,5.33,15.273775216138327,47.42679683733019,23.94234299508365,0,21.660728762138042,21.769993453076196
2024-04-01,2024,4,3.6,34.77,0.636758321273545,313.207,1.137284660219251,5.33,15.273775216138327,39.10388509959365,29.090149125704116,0,20.866952360359022,21.45106940568644
2024-04-01,2024,4,3.6,34.75,0.6662804171494674,313.207,1.137284660219251,5.33,15.273775216138327,39.48443721075913,29.090149125704116,0,20.962090388150393,21.163257170215818
2024-05-01,2024,5,3.9,34.91,1.1590843233845183,313.225,1.1430970179375777,5.33,16.138328530259365,45.83688480447148,28.980722159631128,0,22.73898387359049,21.522675540699968
2024-05-01,2024,5,3.9,34.9,1.2474615607774853,313.225,1.1430970179375777,5.33,16.138328530259365,46.97610420170597,28.980722159631128,0,23.023788722899116,22.241620994879998
2024-05-01,2024,5,3.9,34.88,0.8967312698871854,313.225,0.6979495521677981,5.33,16.138328530259365,42.455044680425644,37.361337908844185,0,23.9886777798823,23.250483458790637
2024-05-01,2024,5,3.9,34.89,0.954861111111116,313.225,0.6979495521677981,5.33,16.138328530259365,43.20436254364426,37.361337908844185,0,24.176007245686954,23.729491249489456
2024-06-01,2024,6,3.4,35,1.3317892298783995,313.049,0.641367736791687,5.33,14.697406340057634,48.06312297709687,38.426581428180185,0,25.296777686333673,24.487154237300974
2024-06-01,2024,6,3.4,34.99,0.8648025367541168,313.049,0.262306632930831,5.33,14.697406340057634,42.043470012702315,45.56301530956125,0,25.5759729155803,25.016252615866975
2024-06-01,2024,6,3.4,35,0.9227220299884653,313.049,0.262306632930831,5.33,14.697406340057634,42.79007640272977,45.56301530956125,0,25.762624513087165,25.545125038333712
2024-07-01,2024,7,2.9,35.07,1.0954165465552057,313.534,0.4176408416872057,5.33,13.256484149855904,45.01618064486712,42.63859943302904,0,25.227816056938018,25.52213782853516
2024-08-01,2024,8,4.8,35.21,1.5575425439861457,314.121,0.6056432757902686,5.33,18.731988472622476,50.97317721739814,39.099151763906804,0,27.201079363481853,26.06383997783568
2024-08-01,2024,8,4.8,35.23,1.3812949640287675,314.121,0.2918197869140826,5.33,18.731988472622476,48.70127250838014,45.00738280100979,0,28.110160945503104,26.846352121974324
2024-08-01,2024,8,4.8,35.22,1.2942191544434767,314.121,0.2918197869140826,5.33,18.731988472622476,47.57882905760359,45.00738280100979,0,27.829550082808964,27.71359679726464
2024-08-01,2024,8,4.8,35.23,1.3812949640287675,314.121,0.2918197869140826,5.33,18.731988472622476,48.70127250838014,45.00738280100979,0,28.110160945503104,28.016623991271725
2024-09-01,2024,9,4.6,35.36,1.2890289315382386,314.686,0.46643786415514477,5.13,18.155619596541786,47.511924922737656,41.71991713905635,3.787878787878796,27.793835111553648,27.911182046621903
2024-09-01,2024,9,4.6,35.33,1.2320916905444124,314.686,0.46643786415514477,5.13,18.155619596541786,46.7779801731777,41.71991713905635,3.787878787878796,27.61034892416366,27.838114993740135
2024-10-01,2024,10,4.4,35.46,1.662844036697253,315.454,0.7116290206720333,4.83,17.579250720461097,52.33055731427573,37.103799951194105,9.469696969696969,29.120826238906975,28.17500342487476
2024-10-01,2024,10,4.4,35.48,1.6910289481226526,315.454,0.7116290206720333,4.83,17.579250720461097,52.69387256096512,37.103799951194105,9.469696969696969,29.211655050579324,28.64761007121665
