date,year,month,savings_rate,wage_level,wage_yoy,cpi_level,inflation_yoy,borrow_rate,S_star,W_star,I_star,R_star,CFHI_raw,CFHI
2001-01-01,2001,1,4.5,14.29,4.002911208151372,175.6,3.7212049616065945,5.98,10.197368421052632,42.94861742375461,48.166314035589984,8.628659476117093,27.48523983912858,27.127959536145557
2001-02-01,2001,2,4.6,14.36,4.057971014492745,176,3.529411764705892,5.49,10.526315789473681,43.78508978065375,49.91656190659385,16.178736517719557,30.101675998610208,28.309754733717
2001-03-01,2001,3,4.9,14.42,4.115523465703963,176.1,2.9824561403508643,5.31,11.513157894736842,44.659430569495136,54.90791682705334,18.952234206471502,32.50818487443921,30.031700237392666
2001-04-01,2001,4,4.8,14.44,3.95968322534197,176.4,3.2182562902282053,4.8,11.184210526315788,42.29189494201561,52.75607454602143,26.81047765793528,33.260664418072025,31.956841763707146
2001-05-01,2001,5,4.3,14.5,4.017216642754673,177.3,3.5630841121495394,4.21,9.539473684210526,43.165946568083584,49.609278043676355,35.901386748844374,34.55402126120371,33.44095685123832
2001-06-01,2001,6,4.2,14.54,4.005722460658068,177.7,3.193960511033689,3.97,9.210526315789474,42.99132616478314,52.97779062613662,39.59938366718028,36.19475669347238,34.66981412424937
2001-07-01,2001,7,5.4,14.55,3.780313837375182,177.4,2.7214823393167498,3.77,13.157894736842104,39.566902889230384,57.28948638754316,42.68104776579352,38.17383294485229,36.30753696650946
2001-08-01,2001,8,6.5,14.6,3.766879886282859,177.4,2.7214823393167498,3.65,16.77631578947368,39.362813382213375,57.28948638754316,44.53004622496148,39.48966544604792,37.95275169479086
2001-09-01,2001,9,6.9,14.62,3.541076487252126,178.1,2.5921658986175045,3.07,18.092105263157894,35.93239264640439,58.46958989839309,53.46687211093991,41.49023997972382,39.71791279020801
2001-10-01,2001,10,2.9,14.66,3.4580098800282233,177.6,2.127659574468077,2.49,4.9342105263157885,34.670439048286084,62.70853694160486,62.40369799691833,41.17922112828127,40.71970885135101
2001-11-01,2001,11,3.4,14.72,3.4434293745607913,177.5,1.894374282433997,2.09,6.578947368421052,34.44893100851009,64.83742937531593,68.56702619414483,43.60808348659798,42.09251486486769
2001-12-01,2001,12,3.7,14.74,3.149055283414981,177.4,1.603665521191311,1.82,7.565789473684211,29.976779611825094,67.49035136978381,72.72727272727273,44.44004829564146,43.07578430350691
