date,cpi_level
2010-05-01,217.224
2010-05-01,217.224
2010-05-01,217.224
2010-05-01,217.224
2010-06-01,216.929
2010-06-01,216.929
2010-06-01,216.929
2010-06-01,216.929
2010-07-01,217.597
2010-07-01,217.597
2010-07-01,217.597
2010-07-01,217.597
2010-07-01,217.597
2010-08-01,218.15
2010-08-01,218.15
2010-08-01,218.15
2010-08-01,218.15
2010-09-01,218.372
2010-09-01,218.372
2010-09-01,218.372
2010-09-01,218.372
2010-09-01,218.372
2010-10-01,218.879
2010-10-01,218.879
2010-10-01,218.879
2010-10-01,218.879
2010-11-01,219.146
2010-11-01,219.146
2010-11-01,219.146
2010-12-01,220.252
2010-12-01,220.252
2010-12-01,220.252
2010-12-01,220.252
2010-12-01,220.252
2010-12-01,220.252
2010-12-01,220.252
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-01-01,221.062
2011-02-01,222.27
2011-02-01,222.27
2011-02-01,222.27
2011-02-01,222.27
2011-02-01,222.27
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-03-01,223.49
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-04-01,224.433
2011-05-01,224.804
2011-05-01,224.804
2011-05-01,224.804
2011-05-01,224.804
2011-05-01,224.804
2011-05-01,224.804
2011-05-01,224.804
2011-05-01,224.804
2011-06-01,224.304
2011-06-01,224.304
2011-06-01,224.304
2011-06-01,224.304
2011-06-01,224.304
2011-06-01,224.304
2011-06-01,224.304
2011-07-01,225.425
2011-07-01,225.425
2011-07-01,225.425
2011-07-01,225.425
2011-07-01,225.425
2011-07-01,225.425
2011-08-01,226.268
2011-08-01,226.268
2011-08-01,226.268
2011-08-01,226.268
2011-08-01,226.268
2011-08-01,226.268
2011-08-01,226.268
2011-08-01,226.268
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-09-01,226.955
2011-10-01,226.763
2011-10-01,226.763
2011-10-01,226.763
2011-10-01,226.763
2011-10-01,226.763
2011-10-01,226.763
2011-10-01,226.763
2011-11-01,226.72
2011-11-01,226.72
2011-11-01,226.72
2011-11-01,226.72
2011-11-01,226.72
2011-11-01,226.72
2011-11-01,226.72
2011-11-01,226.72
2011-12-01,226.747
2011-12-01,226.747
2011-12-01,226.747
2011-12-01,226.747
2011-12-01,226.747
2011-12-01,226.747
2011-12-01,226.747
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-01-01,227.505
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-02-01,228.433
2012-03-01,229.098
2012-03-01,229.098
2012-03-01,229.098
2012-03-01,229.098
2012-03-01,229.098
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-04-01,229.177
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-05-01,228.527
2012-06-01,228.618
2012-06-01,228.618
2012-06-01,228.618
2012-06-01,228.618
2012-06-01,228.618
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-07-01,228.723
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-08-01,230.102
2012-09-01,231.414
2012-09-01,231.414
2012-09-01,231.414
2012-09-01,231.414
2012-09-01,231.414
2012-09-01,231.414
2012-09-01,231.414
2012-10-01,231.751
2012-10-01,231.751
2012-10-01,231.751
2012-10-01,231.751
2012-10-01,231.751
2012-10-01,231.751
2012-11-01,231.025
2012-11-01,231.025
2012-11-01,231.025
2012-11-01,231.025
2012-11-01,231.025
2012-12-01,230.979
2012-12-01,230.979
2012-12-01,230.979
2012-12-01,230.979
2012-12-01,230.979
2012-12-01,230.979
2012-12-01,230.979
2012-12-01,230.979
2013-01-01,231.198
2013-01-01,231.198
2013-01-01,231.198
2013-01-01,231.198
2013-01-01,231.198
2013-01-01,231.198
2013-01-01,231.198
2013-01-01,231.198
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-02-01,232.77
2013-03-01,232.34
2013-03-01,232.34
2013-03-01,232.34
2013-03-01,232.34
2013-03-01,232.34
2013-03-01,232.34
2013-03-01,232.34
2013-03-01,232.34
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-04-01,231.485
2013-05-01,231.831
2013-05-01,231.831
2013-05-01,231.831
2013-05-01,231.831
2013-05-01,231.831
2013-05-01,231.831
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-06-01,232.944
2013-07-01,233.318
2013-07-01,233.318
2013-07-01,233.318
2013-07-01,233.318
2013-07-01,233.318
2013-07-01,233.318
2013-07-01,233.318
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-08-01,233.526
2013-09-01,233.947
2013-09-01,233.947
2013-09-01,233.947
2013-09-01,233.947
2013-09-01,233.947
2013-09-01,233.947
2013-09-01,233.947
2013-09-01,233.947
2013-10-01,233.808
2013-10-01,233.808
2013-10-01,233.808
2013-10-01,233.808
2013-10-01,233.808
2013-11-01,233.887
2013-11-01,233.887
2013-11-01,233.887
2013-12-01,234.582
2013-12-01,234.582
2013-12-01,234.582
2013-12-01,234.582
2013-12-01,234.582
2013-12-01,234.582
2013-12-01,234.582
2013-12-01,234.582
2014-01-01,234.933
2014-01-01,234.933
2014-01-01,234.933
2014-01-01,234.933
2014-01-01,234.933
2014-01-01,234.933
2014-02-01,235.169
2014-02-01,235.169
2014-02-01,235.169
2014-02-01,235.169
2014-02-01,235.169
2014-02-01,235.169
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-03-01,235.64
2014-04-01,236.254
2014-04-01,236.254
2014-04-01,236.254
2014-05-01,237.083
2014-05-01,237.083
2014-05-01,237.083
2014-05-01,237.083
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-06-01,237.693
2014-07-01,237.909
2014-07-01,237.909
2014-07-01,237.909
