date,W_star
2006-04-01,37.96785408303035
2006-04-01,37.96432863490431
2006-04-01,38.614617404793655
2006-04-01,37.324940542944105
2006-05-01,37.97138304956748
2006-05-01,36.682027002858135
2006-05-01,29.616359337743997
2006-05-01,28.977588404178228
2006-05-01,29.616359337743997
2006-06-01,35.371644197196844
2006-06-01,34.091247997493895
2006-06-01,35.371644197196844
2006-06-01,35.37386545727365
2006-06-01,37.299390079354275
2006-06-01,36.65617000348041
2006-06-01,36.65903158562712
2006-07-01,40.50118254798948
2006-07-01,41.77649432472149
2006-07-01,41.7818995354435
2006-07-01,35.995871009037366
2006-07-01,34.71896376157713
2006-08-01,36.6333792424067
2006-08-01,38.54212238107068
2006-08-01,36.630543071323906
2006-08-01,36.630543071323906
2006-08-01,32.80267148509032
2006-08-01,31.53048837589617
2006-09-01,37.88075988425016
2006-09-01,39.15075165555291
2006-09-01,38.519511290171586
2006-09-01,34.69641933728518
2006-09-01,35.33421711213191
2006-10-01,40.411368487599205
2006-10-01,38.50825581849626
2006-10-01,39.781370415454084
2006-10-01,38.50825581849626
2006-10-01,32.15833369044089
2006-10-01,30.89580514208387
2006-10-01,31.527378707920427
2006-11-01,36.57996723461316
2006-11-01,35.95087042785836
2006-11-01,35.31249213919957
2006-11-01,34.04903813590105
2006-11-01,32.786819784439786
2006-11-01,34.04903813590105
2006-12-01,40.355504123535695
2006-12-01,39.72917913631556
2006-12-01,36.55777431282688
2006-12-01,35.297410768965584
2006-12-01,37.18995381333631
2007-01-01,38.4414147881668
2007-01-01,37.81598968410333
2007-01-01,37.81598968410333
2007-01-01,31.52216162793059
2007-01-01,31.521857423712273
2007-01-01,32.149127113763484
2007-02-01,39.03843945809119
2007-02-01,39.04239795800147
2007-02-01,37.15937000055104
2007-02-01,34.64665377798822
2007-02-01,35.27604375135927
2007-03-01,42.15927585164934
2007-03-01,43.41685077464823
2007-03-01,41.53352747889567
2007-03-01,34.637580607606274
2007-03-01,31.518229887555684
2007-03-01,32.76398144334854
2007-04-01,41.4923757483859
2007-04-01,40.24572038293838
2007-04-01,40.25024380588989
2007-04-01,30.89580514208387
2007-04-01,30.89580514208387
2007-04-01,31.516431838219006
2007-05-01,40.84499296936792
2007-05-01,42.0940433958024
2007-05-01,40.22316873016274
2007-05-01,32.75410641244304
2007-06-01,41.416068230817885
2007-06-01,41.441381664621055
2007-07-01,46.396546458492026
2007-07-01,45.783677879783525
2007-07-01,45.170219153189976
2007-07-01,34.59640317425395
2007-07-01,35.21730491943417
2007-08-01,42.648104234971456
2007-08-01,33.96495192273267
2007-08-01,35.8158114316735
2007-08-01,35.818159883363265
2007-08-01,29.669314516134776
2007-09-01,38.2617574156411
2007-09-01,38.890815362667134
2007-09-01,38.27933725400282
2007-09-01,39.51403965508041
2007-09-01,30.2834338129282
2007-09-01,30.283724587538657
2007-09-01,30.89580514208387
2007-10-01,35.79943480588777
2007-10-01,37.64792805951128
2007-10-01,27.842651073224246
2007-10-01,29.673385371697474
2007-10-01,30.284015086140442
2007-10-01,30.284305309127408
2007-11-01,40.08574084459693
2007-11-01,38.85663242110629
2007-11-01,38.247753704094315
2007-11-01,33.3383283971714
2007-11-01,32.117066769627776
2007-12-01,43.74949678753629
2007-12-01,41.90802614906306
2007-12-01,40.07701346026413
2007-12-01,40.072655981233055
2007-12-01,30.287479682965035
2007-12-01,30.28719246603469
2007-12-01,30.89580514208387
2008-01-01,36.99056470649286
2008-01-01,37.60638636621889
2008-01-01,26.653543019325298
2008-01-01,27.256158136326274
2008-01-01,30.288053304331562
2008-01-01,29.07340884443203
2008-02-01,41.24222063492284
2008-02-01,41.247107935580445
2008-02-01,40.03362400696456
2008-02-01,35.14205998213455
2008-02-01,32.71648543568919
2008-02-01,35.15207473411567
2008-03-01,44.88729070181372
2008-03-01,44.88069094447416
2008-03-01,44.88729070181372
2008-03-01,39.36837935345231
2008-03-01,33.91463804108242
2008-03-01,35.12415169086903
2008-03-01,33.314269772238724
2008-04-01,41.19844172592612
2008-04-01,41.20328774501524
2008-04-01,41.19844172592612
2008-04-01,30.89580514208387
2008-04-01,28.488631196476828
2008-04-01,26.68718035891799
2008-04-01,29.69109332164227
2008-05-01,37.518625378701145
2008-05-01,41.15503174032005
2008-05-01,40.556070418880246
2008-05-01,33.90336848289699
2008-05-01,32.69950147772625
2008-06-01,42.93167487011837
2008-06-01,44.76295102658684
2008-06-01,42.356634018816386
2008-06-01,30.89580514208387
2008-06-01,32.09435618613088
2008-06-01,30.29708630888714
2008-06-01,30.89580514208387
2008-07-01,41.69783012425575
2008-07-01,41.10246933110715
2008-07-01,32.684484579464595
2008-07-01,32.686140764129
2008-07-01,33.28734808804417
2008-07-01,35.687781528227156
2008-07-01,35.68555580765743
2008-08-01,43.47474315570952
2008-08-01,45.278417670647364
2008-08-01,45.27173430051343
2008-08-01,35.061683043795654
2008-08-01,33.872806638325315
2008-09-01,41.026969272381095
2008-09-01,40.44426179299115
2008-09-01,38.653926170946015
2008-09-01,37.4573313459698
2008-09-01,30.89580514208387
2008-10-01,35.04444492834024
2008-10-01,35.04253838432044
2008-10-01,35.64147158616102
2008-10-01,34.45997559703095
2008-11-01,37.99144724046467
2008-11-01,39.77350244148127
2008-11-01,41.55883347926451
2008-11-01,39.79802646717042
2008-11-01,39.7939297247288
2008-11-01,33.849612767823025
2008-11-01,32.66727786018619
2008-12-01,41.53438820568082
2008-12-01,45.70556672150136
2008-12-01,34.42420381326759
2008-12-01,30.89580514208387
2009-01-01,36.188403148859734
2009-01-01,39.73696870773888
