date,CFHI
2006-04-01,NA
2006-04-01,NA
2006-04-01,21.97295302337604
2006-04-01,21.919376895035523
2006-05-01,20.952502556342573
2006-05-01,19.823991149599735
2006-05-01,19.160638856742295
2006-05-01,19.35764765045064
2006-05-01,19.715333692515244
2006-06-01,19.851841681648207
2006-06-01,19.934880898603073
2006-06-01,20.07138888773604
2006-06-01,20.07157399274244
2006-06-01,21.042796196860674
2006-06-01,21.853717044680838
2006-06-01,22.664691252673492
2006-07-01,21.981674957128206
2006-07-01,21.45853631596674
2006-07-01,20.935609643853212
2006-07-01,20.872373752836847
2006-07-01,20.59645294313779
2006-08-01,20.172133284168837
2006-08-01,20.076837860059417
2006-08-01,19.92865309742612
2006-08-01,19.928416749835886
2006-08-01,20.149817664715815
2006-08-01,20.424501596308463
2006-09-01,22.0725094119371
2006-09-01,23.445650684482143
2006-09-01,24.872203852344914
2006-09-01,24.990991220447487
2006-09-01,25.057095755512062
2006-10-01,26.273031444398423
2006-10-01,27.264816326583745
2006-10-01,28.309544277278324
2006-10-01,28.15095155485308
2006-10-01,26.85539772713197
2006-10-01,25.34854030396795
2006-10-01,24.000406894370133
2006-11-01,24.272814877037707
2006-11-01,24.598008838172134
2006-11-01,24.043380485619412
2006-11-01,23.05847673491421
2006-11-01,22.02081285548346
2006-11-01,21.91552502187525
2006-12-01,21.553202568800998
2006-12-01,21.243871229413504
2006-12-01,20.56507129211352
2006-12-01,20.143563512566008
2006-12-01,19.931961402317736
2007-01-01,19.798574503630906
2007-01-01,19.718099141593893
2007-01-01,19.479911859192654
2007-01-01,19.760410110462384
2007-01-01,20.093001770052542
2007-01-01,20.477865903813633
2007-02-01,20.505910223012755
2007-02-01,20.534309767555925
2007-02-01,20.35351784147396
2007-02-01,20.26163271101954
2007-02-01,20.22186687002018
2007-03-01,20.051072967244384
2007-03-01,19.920372983711236
2007-03-01,19.580280227751118
2007-03-01,19.538525763737557
2007-03-01,19.13202749613654
2007-03-01,18.986285466164308
2007-04-01,18.796913192147287
2007-04-01,18.763598864347188
2007-04-01,18.62684885881031
2007-04-01,18.70184323637022
2007-04-01,18.880725561050756
2007-04-01,19.110949825163264
2007-05-01,18.854540305065267
2007-05-01,18.702218320503476
2007-05-01,18.342271222460454
2007-05-01,18.324770227994836
2007-06-01,19.102964930501873
2007-06-01,20.03917530796248
2007-07-01,21.17640107779599
2007-07-01,21.3627712335616
2007-07-01,21.495910375960815
2007-07-01,21.572930130464915
2007-07-01,21.752764078626413
2007-08-01,23.201125901937743
2007-08-01,24.046942232651773
2007-08-01,24.995255043679183
2007-08-01,24.726357244413705
2007-08-01,24.55236408808747
2007-09-01,24.696652992389943
2007-09-01,24.893167687970436
2007-09-01,25.367153027541033
2007-09-01,25.47150988082764
2007-09-01,24.534935662366706
2007-09-01,23.649342184178664
2007-09-01,22.711863552112927
2007-10-01,22.898118878269702
2007-10-01,23.238391077677566
2007-10-01,23.13017063501323
2007-10-01,23.03928700182786
2007-10-01,22.845248073710774
2007-10-01,23.048719260036037
2007-11-01,22.850557112537278
2007-11-01,22.49908345354405
2007-11-01,22.096845716217576
2007-11-01,21.99843627947085
2007-11-01,21.900680742386374
2007-12-01,22.93886122071405
2007-12-01,23.768829654207135
2007-12-01,24.54798549926228
2007-12-01,24.24158209873701
2007-12-01,24.524909960680805
2007-12-01,24.96079827861365
2007-12-01,25.447767442803187
2008-01-01,25.397464196138557
2008-01-01,25.39850335586196
2008-01-01,24.882259051778163
2008-01-01,24.51722970903565
2008-01-01,24.353539825316407
2008-01-01,24.55519531074197
2008-02-01,27.2910494251982
2008-02-01,29.774652884042123
2008-02-01,32.25835305382635
2008-02-01,32.75775259551336
2008-02-01,33.054613649941786
2008-02-01,33.65556413995708
2008-03-01,34.4886988263666
2008-03-01,35.52341474520161
2008-03-01,36.35571486894604
2008-03-01,35.93654837469844
2008-03-01,35.06345341753164
2008-03-01,34.29060128473544
2008-03-01,33.78609215296764
2008-04-01,34.70776714184023
2008-04-01,35.52905316148803
2008-04-01,36.50075883943093
2008-04-01,36.18209995240345
2008-04-01,35.662439401651284
2008-04-01,34.99306178269331
2008-04-01,34.89266913098985
2008-05-01,36.12966912063311
2008-05-01,37.81982387687452
2008-05-01,39.20973910943559
2008-05-01,39.23568275054774
2008-05-01,38.858270277760745
2008-06-01,37.0845776503289
2008-06-01,35.6906681481722
2008-06-01,34.196554479132196
2008-06-01,34.22386044972314
2008-06-01,34.1984393276123
2008-06-01,34.22377213304535
2008-06-01,34.22377213304535
2008-07-01,33.39944465148557
2008-07-01,32.67527626026705
2008-07-01,32.86942290496592
2008-07-01,33.78815579294269
2008-07-01,34.806602690674765
2008-07-01,35.05687743640498
2008-07-01,35.30682869003235
2008-08-01,36.34074633175529
2008-08-01,37.32493406304114
2008-08-01,38.30875032352997
2008-08-01,38.888989569924085
2008-08-01,39.21984957295085
2008-09-01,40.5673247679655
2008-09-01,41.4357510220372
2008-09-01,42.25405567472767
2008-09-01,41.956585847526725
2008-09-01,40.94549317333121
2008-10-01,43.526625999524015
2008-10-01,46.20731618246319
2008-10-01,49.70009926916615
2008-10-01,49.65139349155704
2008-11-01,53.478079812516086
2008-11-01,57.40335963340646
2008-11-01,61.57587503987293
2008-11-01,61.726423308765085
2008-11-01,61.728125582369046
2008-11-01,59.60324104968159
2008-11-01,57.52656252569889
2008-12-01,57.8808892813183
2008-12-01,60.56062346639889
2008-12-01,59.775806328192964
2008-12-01,56.266292082989764
2009-01-01,52.69855877550305
2009-01-01,52.98961849684588
