date,inflation_yoy
2006-04-01,0.6006006006005871
2006-04-01,0.6006006006005871
2006-04-01,0.6006006006005871
2006-04-01,0.6006006006005871
2006-05-01,1.0510510510510551
2006-05-01,1.0510510510510551
2006-05-01,0.4477611940298498
2006-05-01,0.4477611940298498
2006-05-01,0.4477611940298498
2006-06-01,0.6467661691542448
2006-06-01,0.6467661691542448
2006-06-01,0.6467661691542448
2006-06-01,0.6467661691542448
2006-06-01,0.1981178801386818
2006-06-01,0.1981178801386818
2006-06-01,0.1981178801386818
2006-07-01,0.6438831104507159
2006-07-01,0.6438831104507159
2006-07-01,0.6438831104507159
2006-07-01,0.44488383588727753
2006-07-01,0.44488383588727753
2006-08-01,0.6920415224913379
2006-08-01,0.6920415224913379
2006-08-01,0.6920415224913379
2006-08-01,0.6920415224913379
2006-08-01,0.24606299212599492
2006-08-01,0.24606299212599492
2006-09-01,-0.24606299212598381
2006-09-01,-0.24606299212598381
2006-09-01,-0.24606299212598381
2006-09-01,-0.4909180166912108
2006-09-01,-0.4909180166912108
2006-10-01,-0.9818360333824216
2006-10-01,-0.9818360333824216
2006-10-01,-0.9818360333824216
2006-10-01,-0.9818360333824216
2006-10-01,-0.49333991119882015
2006-10-01,-0.49333991119882015
2006-10-01,-0.49333991119882015
2006-11-01,-0.49333991119882015
2006-11-01,-0.49333991119882015
2006-11-01,0
2006-11-01,0
2006-11-01,0
2006-11-01,0
2006-12-01,0.5453644025781079
2006-12-01,0.5453644025781079
2006-12-01,0.5453644025781079
2006-12-01,0.5453644025781079
2006-12-01,0.5453644025781079
2007-01-01,0.7203767972236097
2007-01-01,0.7203767972236097
2007-01-01,0.7203767972236097
2007-01-01,0.17406311637080396
2007-01-01,0.17406311637080396
2007-01-01,0.17406311637080396
2007-02-01,0.5453648915187292
2007-02-01,0.5453648915187292
2007-02-01,0.5453648915187292
2007-02-01,0.3706565987211752
2007-02-01,0.3706565987211752
2007-03-01,0.9810339990056649
2007-03-01,0.9810339990056649
2007-03-01,0.9810339990056649
2007-03-01,0.6081233509558137
2007-03-01,0.6081233509558137
2007-03-01,0.6081233509558137
2007-04-01,1.0264533657665664
2007-04-01,1.0264533657665664
2007-04-01,1.0264533657665664
2007-04-01,0.4158014292260148
2007-04-01,0.4158014292260148
2007-04-01,0.4158014292260148
2007-05-01,1.0923927349302476
2007-05-01,1.0923927349302476
2007-05-01,1.0923927349302476
2007-05-01,0.6737896785906861
2007-06-01,0.8665090607235859
2007-06-01,0.8665090607235859
2007-07-01,0.9849562376516463
2007-07-01,0.9849562376516463
2007-07-01,0.9849562376516463
2007-07-01,0.30908398308475693
2007-07-01,0.30908398308475693
2007-08-01,0.16924879572972618
2007-08-01,-0.022138374465785482
2007-08-01,-0.022138374465785482
2007-08-01,-0.022138374465785482
2007-08-01,-0.13940431095813555
2007-09-01,0.1269059934239758
2007-09-01,0.1269059934239758
2007-09-01,0.1269059934239758
2007-09-01,0.1269059934239758
2007-09-01,0.2666820706851869
2007-09-01,0.2666820706851869
2007-09-01,0.2666820706851869
2007-10-01,0.5608025493650581
2007-10-01,0.5608025493650581
2007-10-01,0.2933381982985317
2007-10-01,0.2933381982985317
2007-10-01,0.2933381982985317
2007-10-01,0.2933381982985317
2007-11-01,1.0912565052906498
2007-11-01,1.0912565052906498
2007-11-01,1.0912565052906498
2007-11-01,0.795584553596651
2007-11-01,0.795584553596651
2007-12-01,1.0804057385485066
2007-12-01,1.0804057385485066
2007-12-01,1.0804057385485066
2007-12-01,1.0804057385485066
2007-12-01,0.28257307719705693
2007-12-01,0.28257307719705693
2007-12-01,0.28257307719705693
2008-01-01,0.9265547455654888
2008-01-01,0.9265547455654888
2008-01-01,0.6421670770979437
2008-01-01,0.6421670770979437
2008-01-01,0.6421670770979437
2008-01-01,0.6421670770979437
2008-02-01,0.6682136768327407
2008-02-01,0.6682136768327407
2008-02-01,0.6682136768327407
2008-02-01,0.025880404298983528
2008-02-01,0.025880404298983528
2008-02-01,0.025880404298983528
2008-03-01,0.3693839522671327
2008-03-01,0.3693839522671327
2008-03-01,0.3693839522671327
2008-03-01,0.343414670862896
2008-03-01,0.343414670862896
2008-03-01,0.343414670862896
2008-03-01,0.343414670862896
2008-04-01,0.551345197604558
2008-04-01,0.551345197604558
2008-04-01,0.551345197604558
2008-04-01,0.2072189066155472
2008-04-01,0.2072189066155472
2008-04-01,0.2072189066155472
2008-04-01,0.2072189066155472
2008-05-01,0.8584113529706894
2008-05-01,0.8584113529706894
2008-05-01,0.8584113529706894
2008-05-01,0.6498458429047949
2008-05-01,0.6498458429047949
2008-06-01,1.7123367782804655
2008-06-01,1.7123367782804655
2008-06-01,1.7123367782804655
2008-06-01,1.055630961456222
2008-06-01,1.055630961456222
2008-06-01,1.055630961456222
2008-06-01,1.055630961456222
2008-07-01,1.882100291913802
2008-07-01,1.882100291913802
2008-07-01,0.8178360004231777
2008-07-01,0.8178360004231777
2008-07-01,0.8178360004231777
2008-07-01,0.8178360004231777
2008-07-01,0.8178360004231777
2008-08-01,0.6793834491704454
2008-08-01,0.6793834491704454
2008-08-01,0.6793834491704454
2008-08-01,-0.1373294218020793
2008-08-01,-0.1373294218020793
2008-09-01,-0.1678977648610136
2008-09-01,-0.1678977648610136
2008-09-01,-0.1678977648610136
2008-09-01,-0.1678977648610136
2008-09-01,-0.030610380116957714
2008-10-01,-0.9914108187134452
2008-10-01,-0.9914108187134452
2008-10-01,-0.9914108187134452
2008-10-01,-0.9914108187134452
2008-11-01,-2.62918565167517
2008-11-01,-2.62918565167517
