"date","savings_rate","wage_yoy","inflation_yoy","borrow_rate","S_star","W_star","I_star","R_star","CFHI"
2008-02-01,0.3,0.802644003777164,0.668213676832741,2.98,5.76368876080692,39.6983033925283,37.9211635044335,44.5075757575758,31.9726828538361
2008-03-01,0.2,1.08541764983483,0.369383952267133,2.61,5.47550432276657,43.5227037099353,43.5471128551656,51.5151515151515,36.0151181007547
2008-04-01,0.7,0.799247766807709,0.551345197604558,2.28,6.9164265129683,39.6523706476453,40.1214002639814,57.7651515151515,36.1138372349366
2008-05-01,5,0.513778608127047,0.858411352970689,1.98,19.3083573487032,35.7915146015144,34.3403868794357,63.4469696969697,38.2218071316557
2008-06-01,2.5,0.933706816059754,1.71233677828047,2,12.1037463976945,41.4708754404608,18.2638697288119,63.0681818181818,33.7266683462873
2008-07-01,1.2,0.83798882681565,1.8821002919138,2.01,8.35734870317003,40.1763279691874,15.067799021014,62.8787878787879,31.6200658930398
2008-08-01,1,0.975836431226762,0.679383449170445,2,7.78097982708934,42.0406616134767,37.7108746065586,63.0681818181818,37.6501744663266
2008-09-01,1.3,0.785945446139635,-0.167897764861014,1.81,8.64553314121037,39.4724620879387,53.6623038122609,66.6666666666667,42.1117414270192
2008-10-01,2.4,0.321839080459774,-0.991410818713445,0.97,11.8155619596542,33.1956093579827,69.1662592416456,82.5757575757576,49.18829703376
2008-11-01,2.8,0.550458715596336,-2.62918565167517,0.39,12.9682997118156,36.2875983653439,100,93.5606060606061,60.7041260344414
2008-12-01,3.6,0.825309491059145,-2.40874901942688,0.16,15.2737752161383,40.004845030916,95.8499264760974,97.9166666666667,62.2613033474546
2009-01-01,5,0.410583941605847,-0.415845301792916,0.15,19.3083573487032,34.3958480643368,58.3303142869398,98.1060606060606,52.5351450765101
2009-02-01,4.2,0.409463148316647,0.717291597711478,0.22,17.0028818443804,34.380689783957,36.9971928468813,96.780303030303,46.2902668763804
2009-03-01,4.2,0.683060109289602,0.254508092414718,0.18,17.0028818443804,38.0809791106829,45.7098353557165,97.5378787878788,49.5828937746647
2009-04-01,5.7,0.545206724216252,-0.157741294887026,0.15,21.3256484149856,36.2165672852519,53.4710919582897,98.1060606060606,52.279842066147
2009-05-01,6.9,0.135685210312086,0.0761585979296209,0.18,24.7838616714697,30.6779528153564,49.0675509382624,97.5378787878788,50.5168110532418
2009-06-01,4.6,0.225937641211038,0.840735220128752,0.21,18.1556195965418,31.8985807988649,34.6731684600837,96.969696969697,45.4242664562968
2009-07-01,4.2,0.452284034373585,0.74832296736127,0.16,17.0028818443804,34.9598251189181,36.4129774908375,97.9166666666667,46.5730877802007
